"항목","만족도","중요도"
"배차간격",17.793,0.1120689655172414
"쾌적성",26.126,0.08405172413793105
"편리성",56.532,0.1142241379310345
"내부청결성",61.036,0.15301724137931036
"외부청결성",56.982,0.15301724137931036
"기사님친절성",53.829,0.1185344827586207
"정차선신뢰성",71.396,0.1314655172413793
"안정성",41.216,0.13362068965517243
