"통학횟수","이용횟수","n","mean","sd","min","Q1","median","Q3","max","percZero"
"3일","1회 ~ 2회",6,45.8333333,18.8193163,25,31.25,50,50,75,0
"4일","1회 ~ 2회",13,28.8461538,20.0160192,0,25,25,50,50,23.0769231
"5일 이상","1회 ~ 2회",6,62.5,26.2202212,25,50,62.5,75,100,0
"1일","3회 ~ 4회",1,100,NA,100,100,100,100,100,0
"3일","3회 ~ 4회",9,61.1111111,33.3333333,0,50,75,75,100,11.1111111
"4일","3회 ~ 4회",27,62.037037,28.8983384,0,50,50,87.5,100,3.7037037
"5일 이상","3회 ~ 4회",4,50,28.8675135,25,25,50,75,75,0
"3일","5회 이상",9,61.1111111,22.0479276,25,50,50,75,100,0
"4일","5회 이상",17,58.8235294,27.8685201,0,50,75,75,100,5.8823529
"5일 이상","5회 이상",19,64.4736842,28.0324582,0,50,75,75,100,5.2631579
"3일","1회 ~ 2회",6,37.5,30.6186218,0,12.5,50,50,75,33.3333333
"4일","1회 ~ 2회",13,44.2307692,23.1702174,0,25,50,50,75,7.6923077
"5일 이상","1회 ~ 2회",6,58.3333333,12.9099445,50,50,50,68.75,75,0
"1일","3회 ~ 4회",1,100,NA,100,100,100,100,100,0
"3일","3회 ~ 4회",9,38.8888889,35.6000156,0,0,50,50,100,33.3333333
"4일","3회 ~ 4회",27,64.8148148,25.2480571,0,50,75,75,100,3.7037037
"5일 이상","3회 ~ 4회",4,31.25,37.5,0,0,25,56.25,75,50
"3일","5회 이상",9,55.5555556,32.542707,0,50,50,75,100,11.1111111
"4일","5회 이상",17,50,35.3553391,0,25,50,75,100,17.6470588
"5일 이상","5회 이상",19,60.5263158,25.4348152,0,50,75,75,100,5.2631579
"3일","1회 ~ 2회",6,54.1666667,18.8193163,25,50,50,68.75,75,0
"4일","1회 ~ 2회",13,65.3846154,24.0192231,25,50,75,75,100,0
"5일 이상","1회 ~ 2회",6,75,15.8113883,50,75,75,75,100,0
"1일","3회 ~ 4회",1,100,NA,100,100,100,100,100,0
"3일","3회 ~ 4회",9,58.3333333,33.0718914,0,50,50,75,100,11.1111111
"4일","3회 ~ 4회",27,79.6296296,23.0353376,25,62.5,75,100,100,0
"5일 이상","3회 ~ 4회",4,81.25,12.5,75,75,75,81.25,100,0
"3일","5회 이상",9,69.4444444,32.542707,0,50,75,100,100,11.1111111
"4일","5회 이상",17,72.0588235,23.1880103,25,75,75,75,100,0
"5일 이상","5회 이상",19,71.0526316,22.4585388,25,62.5,75,75,100,0
"3일","1회 ~ 2회",6,37.5,13.6930639,25,25,37.5,50,50,0
"4일","1회 ~ 2회",13,28.8461538,30.3557961,0,0,25,50,75,38.4615385
"5일 이상","1회 ~ 2회",6,29.1666667,29.2261299,0,6.25,25,43.75,75,33.3333333
"1일","3회 ~ 4회",1,75,NA,75,75,75,75,75,0
"3일","3회 ~ 4회",9,44.4444444,41.0369075,0,0,50,75,100,33.3333333
"4일","3회 ~ 4회",27,44.4444444,32.0256308,0,25,50,50,100,18.5185185
"5일 이상","3회 ~ 4회",4,43.75,23.9356777,25,25,37.5,56.25,75,0
"3일","5회 이상",9,52.7777778,36.3241579,0,25,50,75,100,11.1111111
"4일","5회 이상",17,41.1764706,34.165471,0,25,25,75,100,23.5294118
"5일 이상","5회 이상",19,40.7894737,29.1196363,0,25,50,50,100,21.0526316
